SLNo,OFFICE_NAME,LBCode,DISTRICT_NAME,WARD_NO,WARD_NAME_ENG,WARD_NAME_MAL
1,Amboori Grama Panchayat,G010908,Thiruvananthapuram,1,Mayam,മായം
2,Amboori Grama Panchayat,G010908,Thiruvananthapuram,2,Panchayat Office Ward,ഓഫീസ് വാർഡ്
3,Amboori Grama Panchayat,G010908,Thiruvananthapuram,3,Thodumala,തൊടുമല
4,Amboori Grama Panchayat,G010908,Thiruvananthapuram,4,Corporation,പന്തപ്ലാമൂട്
5,Amboori Grama Panchayat,G010908,Thiruvananthapuram,5,Amboori,അമ്പൂരി
6,Amboori Grama Panchayat,G010908,Thiruvananthapuram,6,Koottappu,കൂട്ടപ്പു
7,Amboori Grama Panchayat,G010908,Thiruvananthapuram,7,Thekkupara,തേക്കുപാറ
8,Amboori Grama Panchayat,G010908,Thiruvananthapuram,8,Kannannoor,കണ്ണന്നൂർ
9,Amboori Grama Panchayat,G010908,Thiruvananthapuram,9,Kudappanamoodu,കുടപ്പനമൂട്
10,Amboori Grama Panchayat,G010908,Thiruvananthapuram,10,Thudiyamkonam,തുടിയംകോണം
11,Amboori Grama Panchayat,G010908,Thiruvananthapuram,11,Puruthippara,പുറുത്തിപ്പാറ
12,Amboori Grama Panchayat,G010908,Thiruvananthapuram,12,Chirayakode,ചിറയക്കോട്
13,Amboori Grama Panchayat,G010908,Thiruvananthapuram,13,Kuttamala,കുട്ടമല
14,Amboori Grama Panchayat,G010908,Thiruvananthapuram,14,Kandamthitta,കണ്ടംതിട്ട
15,Anad Grama Panchayat,G010601,Thiruvananthapuram,1,Theerthamkara,തീർത്ഥങ്കര
16,Anad Grama Panchayat,G010601,Thiruvananthapuram,2,Chela,ചേല
17,Anad Grama Panchayat,G010601,Thiruvananthapuram,3,Kalliyodu,കല്ലിയോട്
18,Anad Grama Panchayat,G010601,Thiruvananthapuram,4,Iriyanadu,ഇര്യനാട്
19,Anad Grama Panchayat,G010601,Thiruvananthapuram,5,Chandramangalam,ചന്ദ്രമംഗലം
20,Anad Grama Panchayat,G010601,Thiruvananthapuram,6,Cheruveli,ചെറുവേലി
21,Anad Grama Panchayat,G010601,Thiruvananthapuram,7,Arampally,ആറാംപള്ളി
22,Anad Grama Panchayat,G010601,Thiruvananthapuram,8,Vanchuvam,വഞ്ചുവം
23,Anad Grama Panchayat,G010601,Thiruvananthapuram,9,Manoorkonam,മന്നൂർക്കോണം
24,Anad Grama Panchayat,G010601,Thiruvananthapuram,10,Thazhnnamala,താഴ്ന്നമല
25,Anad Grama Panchayat,G010601,Thiruvananthapuram,11,Chullimanoor,ചുള്ളിമാനൂർ
26,Anad Grama Panchayat,G010601,Thiruvananthapuram,12,Nettarakonam,നെട്ടറക്കോണം
27,Anad Grama Panchayat,G010601,Thiruvananthapuram,13,Anad Town,ആനാട് ഠൌണ്‍
28,Anad Grama Panchayat,G010601,Thiruvananthapuram,14,Mandapam,മണ്ഡപം
29,Anad Grama Panchayat,G010601,Thiruvananthapuram,15,Puthenpalam,പുത്തൻപാലം
30,Anad Grama Panchayat,G010601,Thiruvananthapuram,16,Thirichittor,തിരിച്ചിറ്റൂർ
31,Anad Grama Panchayat,G010601,Thiruvananthapuram,17,Vettampally,വേട്ടമ്പള്ളി
32,Anad Grama Panchayat,G010601,Thiruvananthapuram,18,Venkavila,വേങ്കവിള
33,Anad Grama Panchayat,G010601,Thiruvananthapuram,19,Thannimoodu,താന്നിമൂട്
34,Anad Grama Panchayat,G010601,Thiruvananthapuram,20,Irinchayam,ഇരിഞ്ചയം
35,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,1,Maithani,മൈതാനി
36,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,2,Karichara,കരിച്ചാറ
37,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,3,Velloor,വെള്ളൂർ
38,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,4,Gandhismarakam,ഗാന്ധിസ്മാരകം
39,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,5,Koithoorkonam,കൊയ്ത്തൂർക്കോണം
40,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,6,Thiruvelloor,തിരുവെള്ളൂർ
41,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,7,Keezhavoor,കീഴാവൂർ
42,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,8,Andoorkonam,അണ്ടൂർക്കോണം
43,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,9,Parambilpalam,പറമ്പിൽപ്പാലം
44,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,10,Paichira,പാച്ചിറ
45,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,11,Kallupalam,കല്ലുപാലം
46,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,12,Pallichaveedu,പള്ളിച്ചവീട്
47,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,13,Kunninakam,കുന്നിനകം
48,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,14,Alummoodu,ആലുംമൂട്
49,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,15,Thekkevila,തെക്കേവിള
50,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,16,Valiyaveedu,വലിയവീട്
51,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,17,Kaniyapuram,കണിയാപുരം
52,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,18,Pallippuram,പള്ളിപ്പുറം
53,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,19,Sreepadam,ശ്രീപാദം
54,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,20,Kandal,കണ്ടൽ
55,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,1,Kayikkara Asan Smarakam,കായിക്കര ആശാന്‍ സ്മാരകം
56,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,2,Nedunganda,നെടുങ്ങണ്ട
57,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,3,Kaikkara,കായിക്കര
58,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,4,Kapaleeswaram,കാപാലീശ്വരം
59,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,5,Erangukadavu,ഇറങ്ങുകടവ്
60,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,6,Mudippura,മുടിപ്പുര
61,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,7,Kettupura,കേട്ടുപുര
62,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,8,Puthen Nada,പുത്തന്‍നട
63,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,9,Kochumethankadavu,കൊച്ചുമേത്തന്‍ കടവ്
64,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,10,Valiya Palli,വലിയപളളി
65,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,11,Anchuthengukottah,അഞ്ചുതെങ്ങ് കോട്ട
66,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,12,Anchuthengujunction,അഞ്ചുതെങ്ങ് ജംഗ്ഷന്‍
67,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,13,Mannakulam,മണ്ണാക്കുളം
68,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,14,Mampally,മാമ്പളളി
69,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,1,Vellorkkonam,വെള്ളൂർക്കോണം
70,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,2,Kokkothamangalam,കോക്കോതമംഗലം
71,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,3,Kalathara,കളത്തറ
72,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,4,Mundela,മുണ്ടേല
73,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,5,Mailamoodu,മൈലമൂട്
74,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,6,Aruvikkara,അരുവിക്കര
75,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,7,Vembannoor,വെമ്പന്നൂർ
76,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,8,Kadambanad,കടമ്പനാട്‌
77,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,9,Manambooru,മണമ്പൂര്‌
78,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,10,Bhagavathipuram,ഭഗവതിപുരം
79,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,11,Cheriyakonni,ചെറിയകൊണ്ണി
80,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,12,Irayamcode,ഇറയംകോട്
81,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,13,Kachani,കാച്ചാണി
82,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,14,Kalathukaal,കളത്തുകാൽ
83,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,15,Pandiyode,പാണ്ടിയോട്
84,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,16,Mailam,മൈലം
85,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,17,Irumba,ഇരുമ്പ
86,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,18,Vattakkulam,വട്ടക്കുളം
87,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,19,Azhikkode,അഴിക്കോട്
88,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,20,Maruthinakkam,മരുതിനകം
89,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,21,Karumarakkode,കരുമരക്കോട്
90,Aryanad Grama Panchayat,G010501,Thiruvananthapuram,1,Keezhpaloor,കീഴ്പാലൂർ
91,Aryanad Grama Panchayat,G010501,Thiruvananthapuram,2,Meenankal,മീനാങ്കൽ
92,Aryanad Grama Panchayat,G010501,Thiruvananthapuram,3,Theviyarukunnu,തേവിയാരുകുന്ന്
93,Aryanad Grama Panchayat,G010501,Thiruvananthapuram,4,Pottanchira,പൊട്ടൻച്ചിറ
94,Aryanad Grama Panchayat,G010501,Thiruvananthapuram,5,Enchappuri,ഈഞ്ചപ്പുരി
95,Aryanad Grama Panchayat,G010501,Thiruvananthapuram,6,Kokkottela,കൊക്കോട്ടേല
96,Aryanad Grama Panchayat,G010501,Thiruvananthapuram,7,Palaikkonam,പാലൈക്കോണം
97,Aryanad Grama Panchayat,G010501,Thiruvananthapuram,8,Irinjal,ഇരിഞ്ചൽ
98,Aryanad Grama Panchayat,G010501,Thiruvananthapuram,9,Pallivetta,പള്ളിവേട്ട
99,Aryanad Grama Panchayat,G010501,Thiruvananthapuram,10,Kanjirammoodu,കാഞ്ഞിരംമൂട്
100,Aryanad Grama Panchayat,G010501,Thiruvananthapuram,11,Kanakkuzhi,കാനക്കുഴി
101,Aryanad Grama Panchayat,G010501,Thiruvananthapuram,12,Choozha,ചൂഴ
102,Aryanad Grama Panchayat,G010501,Thiruvananthapuram,13,Aryanad Town,ആര്യനാട് ഠൌൺ
103,Aryanad Grama Panchayat,G010501,Thiruvananthapuram,14,Kottakkakam,കോട്ടയ്ക്കകം
104,Aryanad Grama Panchayat,G010501,Thiruvananthapuram,15,Eravoor,ഇറവൂർ
105,Aryanad Grama Panchayat,G010501,Thiruvananthapuram,16,Valiyakalungu,വലിയകലുങ്ക്
106,Aryanad Grama Panchayat,G010501,Thiruvananthapuram,17,Parandode,പറണ്ടോട്
107,Aryanad Grama Panchayat,G010501,Thiruvananthapuram,18,Puruthippara,പുറുത്തിപ്പാറ
108,Aryancode Grama Panchayat,G010904,Thiruvananthapuram,1,Keezharoor,കീഴാറൂര്‍
109,Aryancode Grama Panchayat,G010904,Thiruvananthapuram,2,Aryancode,ആര്യങ്കോട്
110,Aryancode Grama Panchayat,G010904,Thiruvananthapuram,3,Vellangal,വെള്ളാങ്ങല്‍
111,Aryancode Grama Panchayat,G010904,Thiruvananthapuram,4,Mukkuthalaikkel,മുക്കുതലയ്ക്കല്‍
112,Aryancode Grama Panchayat,G010904,Thiruvananthapuram,5,Edaval,ഇടവാല്‍
113,Aryancode Grama Panchayat,G010904,Thiruvananthapuram,6,Kalayil,കാലായിൽ
114,Aryancode Grama Panchayat,G010904,Thiruvananthapuram,7,Chilampara,ചിലമ്പറ
115,Aryancode Grama Panchayat,G010904,Thiruvananthapuram,8,Manchamcode,മഞ്ചംകോട്
116,Aryancode Grama Panchayat,G010904,Thiruvananthapuram,9,Chemboor,ചെമ്പൂര്
117,Aryancode Grama Panchayat,G010904,Thiruvananthapuram,10,Karikkottukuzhi,കരിക്കോട്ടുകുഴി
118,Aryancode Grama Panchayat,G010904,Thiruvananthapuram,11,Mannamkonam,മണ്ണാംകോണം
119,Aryancode Grama Panchayat,G010904,Thiruvananthapuram,12,Thudali,തുടലി
120,Aryancode Grama Panchayat,G010904,Thiruvananthapuram,13,Mukkolavila,മുക്കോലവിള
121,Aryancode Grama Panchayat,G010904,Thiruvananthapuram,14,Mylachal,മൈലച്ചല്‍
122,Aryancode Grama Panchayat,G010904,Thiruvananthapuram,15,Kuttiyayanikkadu,കുറ്റിയാണിക്കാട്
123,Aryancode Grama Panchayat,G010904,Thiruvananthapuram,16,Kavalloor,കാവല്ലൂര്‍
124,Aryancode Grama Panchayat,G010904,Thiruvananthapuram,17,Pasuvannara,പശുവണ്ണറ
125,Athiyannoor Block Panchayat,B011000,Thiruvananthapuram,1,Muttacaud,മുട്ടയ്ക്കാട്
126,Athiyannoor Block Panchayat,B011000,Thiruvananthapuram,2,Peringamala,പെരിങ്ങമ്മല
127,Athiyannoor Block Panchayat,B011000,Thiruvananthapuram,3,Payattuvila,പയറ്റുവിള
128,Athiyannoor Block Panchayat,B011000,Thiruvananthapuram,4,Avanakuzhi,അവണാകുഴി
129,Athiyannoor Block Panchayat,B011000,Thiruvananthapuram,5,Athiyannoor,അതിയന്നൂർ
130,Athiyannoor Block Panchayat,B011000,Thiruvananthapuram,6,Venpakal,വെണ്‍പകല്‍
131,Athiyannoor Block Panchayat,B011000,Thiruvananthapuram,7,Nellimoodu,നെല്ലിമൂട്
132,Athiyannoor Block Panchayat,B011000,Thiruvananthapuram,8,Kanjiramkulam,കാഞ്ഞിരംകുളം
133,Athiyannoor Block Panchayat,B011000,Thiruvananthapuram,9,Lourdepuram,ലൂര്‍ദ്ദിപുരം
134,Athiyannoor Block Panchayat,B011000,Thiruvananthapuram,10,Karumkulam,കരംകുളം
135,Athiyannoor Block Panchayat,B011000,Thiruvananthapuram,11,Pulluvila,പുല്ലുവിള
136,Athiyannoor Block Panchayat,B011000,Thiruvananthapuram,12,Adimalathura,അടിമലത്തുറ
137,Athiyannoor Block Panchayat,B011000,Thiruvananthapuram,13,Kottukal,കോട്ടുകാല്‍
138,Athiyannoor Block Panchayat,B011000,Thiruvananthapuram,14,Venganoor,വെങ്ങാനൂര്‍
139,Athiyannoor Grama Panchayat,G011001,Thiruvananthapuram,1,Ramapuram,രാമപുരം
140,Athiyannoor Grama Panchayat,G011001,Thiruvananthapuram,2,Athiyannoor,അതിയന്നൂർ
141,Athiyannoor Grama Panchayat,G011001,Thiruvananthapuram,3,Arangamugal,അരംഗമുകൾ
142,Athiyannoor Grama Panchayat,G011001,Thiruvananthapuram,4,Ooruttukala,ഊരൂട്ടുകാല
143,Athiyannoor Grama Panchayat,G011001,Thiruvananthapuram,5,Kodangavila,കൊടങ്ങാവിള
144,Athiyannoor Grama Panchayat,G011001,Thiruvananthapuram,6,Sasthamthala,ശാസ്താംതല
145,Athiyannoor Grama Panchayat,G011001,Thiruvananthapuram,7,Kamukincode,കമുകിൻകോട്
146,Athiyannoor Grama Panchayat,G011001,Thiruvananthapuram,8,Venpakal,വെൺപകൽ
147,Athiyannoor Grama Panchayat,G011001,Thiruvananthapuram,9,Arangal,അരങ്ങൽ
148,Athiyannoor Grama Panchayat,G011001,Thiruvananthapuram,10,Pongil,പോങ്ങിൽ
149,Athiyannoor Grama Panchayat,G011001,Thiruvananthapuram,11,Bhaskarnagar,ഭാസ്കർനഗർ
150,Athiyannoor Grama Panchayat,G011001,Thiruvananthapuram,12,Kuttithanni,കുറ്റിത്താന്നി
151,Athiyannoor Grama Panchayat,G011001,Thiruvananthapuram,13,Nellimoodu,നെല്ലിമൂട്
152,Athiyannoor Grama Panchayat,G011001,Thiruvananthapuram,14,Poothamcode,പൂതംകോട്
153,Athiyannoor Grama Panchayat,G011001,Thiruvananthapuram,15,Kannaravila,കണ്ണറവിള
154,Athiyannoor Grama Panchayat,G011001,Thiruvananthapuram,16,Maruthamcode,മരുതംകോട്
155,Athiyannoor Grama Panchayat,G011001,Thiruvananthapuram,17,Sabarimuttam,ശബരിമുട്ടം
156,Athiyannoor Grama Panchayat,G011001,Thiruvananthapuram,18,Thannimoodu,താന്നിമൂട്
157,Attingal Municipality,M010200,Thiruvananthapuram,1,Kochuvila,കൊച്ചുവിള
158,Attingal Municipality,M010200,Thiruvananthapuram,2,Alamcode,ആലംകോട്
159,Attingal Municipality,M010200,Thiruvananthapuram,3,Poovanpara,പൂവൻപാറ
160,Attingal Municipality,M010200,Thiruvananthapuram,4,L.M.S,എൽ.എം.എസ്
161,Attingal Municipality,M010200,Thiruvananthapuram,5,Karichiyil,കരിച്ചിയിൽ
162,Attingal Municipality,M010200,Thiruvananthapuram,6,Thachoorkunnu,തച്ചൂർകുന്ന്
163,Attingal Municipality,M010200,Thiruvananthapuram,7,Arattukadavu,ആറാട്ടുകടവ്
164,Attingal Municipality,M010200,Thiruvananthapuram,8,Avanavancheri,അവനവഞ്ചേരി
165,Attingal Municipality,M010200,Thiruvananthapuram,9,Gramam,ഗ്രാമം
166,Attingal Municipality,M010200,Thiruvananthapuram,10,Velamkonam,വേലാംകോണം
167,Attingal Municipality,M010200,Thiruvananthapuram,11,Kacheri,കച്ചേരി
168,Attingal Municipality,M010200,Thiruvananthapuram,12,Manomohanavilasam,മനോമോഹനവിലാസം
169,Attingal Municipality,M010200,Thiruvananthapuram,13,Ambalammukku,അമ്പലംമുക്ക്
170,Attingal Municipality,M010200,Thiruvananthapuram,14,Cosmo Gardens,കോസ്മോ ഗാർഡൻസ്
171,Attingal Municipality,M010200,Thiruvananthapuram,15,Chittattinkara,ചിറ്റാറ്റിൻകര
172,Attingal Municipality,M010200,Thiruvananthapuram,16,Valiyakunnu,വലിയകുന്ന്
173,Attingal Municipality,M010200,Thiruvananthapuram,17,Mamom,മാമം
174,Attingal Municipality,M010200,Thiruvananthapuram,18,I.T.I,ഐ.ടി.ഐ
175,Attingal Municipality,M010200,Thiruvananthapuram,19,Parvathypuram,പാർവ്വതീപുരം
176,Attingal Municipality,M010200,Thiruvananthapuram,20,Kanjiramkonam,കാഞ്ഞിരംകോണം
177,Attingal Municipality,M010200,Thiruvananthapuram,21,Vilayilmoola,വിളയിൽമൂല
178,Attingal Municipality,M010200,Thiruvananthapuram,22,Cheruvallimukku,ചെറുവള്ളിമുക്ക്
179,Attingal Municipality,M010200,Thiruvananthapuram,23,Kodumon,കൊടുമൺ
180,Attingal Municipality,M010200,Thiruvananthapuram,24,Palace,പാലസ്
181,Attingal Municipality,M010200,Thiruvananthapuram,25,A.C.A.C Nagar,എ.സി.എ.സി നഗർ
182,Attingal Municipality,M010200,Thiruvananthapuram,26,Town,ഠൌണ്‍
183,Attingal Municipality,M010200,Thiruvananthapuram,27,Pachamkulam,പച്ചംകുളം
184,Attingal Municipality,M010200,Thiruvananthapuram,28,Kuzhimukk,കുഴിമുക്ക്
185,Attingal Municipality,M010200,Thiruvananthapuram,29,Thottavaram,തോട്ടവാരം
186,Attingal Municipality,M010200,Thiruvananthapuram,30,Kottiyode,കൊട്ടിയോട്
187,Attingal Municipality,M010200,Thiruvananthapuram,31,Townhall,ഠൌണ്‍ഹാൾ
188,Attingal Municipality,M010200,Thiruvananthapuram,32,Melattingal,മേലാറ്റിങ്ങൽ
189,Azhoor Grama Panchayat,G010705,Thiruvananthapuram,1,Kolichira,കോളിച്ചിറ
190,Azhoor Grama Panchayat,G010705,Thiruvananthapuram,2,Muttappalam,മുട്ടപ്പലം
191,Azhoor Grama Panchayat,G010705,Thiruvananthapuram,3,Thettichira,തെറ്റിച്ചിറ
192,Azhoor Grama Panchayat,G010705,Thiruvananthapuram,4,Gandhismarakom,ഗാന്ധിസ്മാരകം
193,Azhoor Grama Panchayat,G010705,Thiruvananthapuram,5,Akkaravila,അക്കരവിള
194,Azhoor Grama Panchayat,G010705,Thiruvananthapuram,6,Chilampil,ചിലമ്പില്‍
195,Azhoor Grama Panchayat,G010705,Thiruvananthapuram,7,Kannukalivanam,കന്നുകാലി വനം
196,Azhoor Grama Panchayat,G010705,Thiruvananthapuram,8,Nalumukku,നാലുമുക്ക്
197,Azhoor Grama Panchayat,G010705,Thiruvananthapuram,9,Panchayat Office,പഞ്ചായത്ത് ഓഫീസ്
198,Azhoor Grama Panchayat,G010705,Thiruvananthapuram,10,Perunguzhi Junction,പെരുങ്ങുഴി ജംഗ്ഷൻ
199,Azhoor Grama Panchayat,G010705,Thiruvananthapuram,11,Reyilvestation,റെയില്‍വേ സ്റ്റേഷന്‍
200,Azhoor Grama Panchayat,G010705,Thiruvananthapuram,12,Kottaramthuruthu,കൊട്ടാരംതുരുത്ത്
201,Azhoor Grama Panchayat,G010705,Thiruvananthapuram,13,Madanvila,മാടന്‍വിള
202,Azhoor Grama Panchayat,G010705,Thiruvananthapuram,14,Azhoor Temple,അഴൂർ ക്ഷേത്രം
203,Azhoor Grama Panchayat,G010705,Thiruvananthapuram,15,Ganapathiyam Kovil,ഗണപതിയാം കോവില്‍
204,Azhoor Grama Panchayat,G010705,Thiruvananthapuram,16,Krishnapuram,കൃഷ്ണപുരം
205,Azhoor Grama Panchayat,G010705,Thiruvananthapuram,17,Azhoor L.P.S,അഴൂർ എല്‍ പി എസ്
206,Azhoor Grama Panchayat,G010705,Thiruvananthapuram,18,Mavinte Moodu,മാവിന്‍റെ മൂട്
207,Balaramapuram Grama Panchayat,G010801,Thiruvananthapuram,1,Eruthavoor,എരുത്താവൂര്‍
208,Balaramapuram Grama Panchayat,G010801,Thiruvananthapuram,2,Russelpuram,റസ്സല്‍പുരം
209,Balaramapuram Grama Panchayat,G010801,Thiruvananthapuram,3,Parakkuzhi,പാറക്കുഴി
210,Balaramapuram Grama Panchayat,G010801,Thiruvananthapuram,4,Punnakkadu,പുന്നക്കാട്
211,Balaramapuram Grama Panchayat,G010801,Thiruvananthapuram,5,Thalayal,തലയല്‍
212,Balaramapuram Grama Panchayat,G010801,Thiruvananthapuram,6,Thempamuttom,തേമ്പാമുട്ടം
213,Balaramapuram Grama Panchayat,G010801,Thiruvananthapuram,7,Kallambalam,കല്ലമ്പലം
214,Balaramapuram Grama Panchayat,G010801,Thiruvananthapuram,8,Thoppu,തോപ്പ്
215,Balaramapuram Grama Panchayat,G010801,Thiruvananthapuram,9,Edamanakuzhi,ഇടമനക്കുഴി
216,Balaramapuram Grama Panchayat,G010801,Thiruvananthapuram,10,Town Ward,ഠൌണ്‍
217,Balaramapuram Grama Panchayat,G010801,Thiruvananthapuram,11,Nellivila,നെല്ലിവിള
218,Balaramapuram Grama Panchayat,G010801,Thiruvananthapuram,12,Anthiyoor,അന്തിയൂര്‍
219,Balaramapuram Grama Panchayat,G010801,Thiruvananthapuram,13,Ramapuram,രാമപുരം
220,Balaramapuram Grama Panchayat,G010801,Thiruvananthapuram,14,Panayarakunnu,പനയറക്കുന്ന്
221,Balaramapuram Grama Panchayat,G010801,Thiruvananthapuram,15,Kottukalkonam,കോട്ടുകാല്‍കോണം
222,Balaramapuram Grama Panchayat,G010801,Thiruvananthapuram,16,Palachalkonam,പാലച്ചല്‍കോണം
223,Balaramapuram Grama Panchayat,G010801,Thiruvananthapuram,17,R C Street,ആര്‍ സി തെരുവ്
224,Balaramapuram Grama Panchayat,G010801,Thiruvananthapuram,18,Chamavila,ചാമവിള
225,Balaramapuram Grama Panchayat,G010801,Thiruvananthapuram,19,Ithiyoor,ഐത്തിയൂര്‍
226,Balaramapuram Grama Panchayat,G010801,Thiruvananthapuram,20,Housing Board,ഹൌസിംഗ് ബോര്‍ഡ്
227,Balaramapuram Grama Panchayat,G010801,Thiruvananthapuram,21,Manali,മണലി
228,Balaramapuram Grama Panchayat,G010801,Thiruvananthapuram,22,Office Ward,ഓഫീസ് വാര്‍ഡ്
229,Chemmaruthy Grama Panchayat,G010101,Thiruvananthapuram,1,Vandippura,വണ്ടിപ്പുര
230,Chemmaruthy Grama Panchayat,G010101,Thiruvananthapuram,2,Palayamkunnu,പാളയംകുന്ന്
231,Chemmaruthy Grama Panchayat,G010101,Thiruvananthapuram,3,Kovoor,കോവൂര്‍
232,Chemmaruthy Grama Panchayat,G010101,Thiruvananthapuram,4,Sivapuram,ശിവപുരം
233,Chemmaruthy Grama Panchayat,G010101,Thiruvananthapuram,5,Chavarcod,ചാവര്‍കോട്
234,Chemmaruthy Grama Panchayat,G010101,Thiruvananthapuram,6,Muthana,മുത്താന
235,Chemmaruthy Grama Panchayat,G010101,Thiruvananthapuram,7,Mavinmoodu,മാവിൻമൂട്
236,Chemmaruthy Grama Panchayat,G010101,Thiruvananthapuram,8,Njekkadu,ഞെക്കാട്
237,Chemmaruthy Grama Panchayat,G010101,Thiruvananthapuram,9,Valiyavila,വലിയവിള
238,Chemmaruthy Grama Panchayat,G010101,Thiruvananthapuram,10,Chemmaruthy,ചെമ്മരുതി
239,Chemmaruthy Grama Panchayat,G010101,Thiruvananthapuram,11,Panchayat Office,പഞ്ചായത്ത് ഓഫീസ്
240,Chemmaruthy Grama Panchayat,G010101,Thiruvananthapuram,12,Tharatta,തറട്ട
241,Chemmaruthy Grama Panchayat,G010101,Thiruvananthapuram,13,Thokkadu,തോക്കാട്
242,Chemmaruthy Grama Panchayat,G010101,Thiruvananthapuram,14,Praleyagiri,പ്രാലേയഗിരി
243,Chemmaruthy Grama Panchayat,G010101,Thiruvananthapuram,15,Panayara,പനയറ
244,Chemmaruthy Grama Panchayat,G010101,Thiruvananthapuram,16,Thachode,തച്ചോട്
245,Chemmaruthy Grama Panchayat,G010101,Thiruvananthapuram,17,Sreenivasapuram,ശ്രീനിവാസപുരം
246,Chemmaruthy Grama Panchayat,G010101,Thiruvananthapuram,18,Nadayara,നടയറ
247,Chemmaruthy Grama Panchayat,G010101,Thiruvananthapuram,19,Muttappalam,മുട്ടപ്പലം
248,Chemmaruthy Grama Panchayat,G010101,Thiruvananthapuram,20,Chavadimukku,ചാവടിമുക്ക്
249,Chenkal Grama Panchayat,G011101,Thiruvananthapuram,1,Nochiyoor,നൊച്ചിയൂർ
250,Chenkal Grama Panchayat,G011101,Thiruvananthapuram,2,Keezhkolla,കീഴ് ക്കൊല്ല
251,Chenkal Grama Panchayat,G011101,Thiruvananthapuram,3,Vattavila,വട്ടവിള
252,Chenkal Grama Panchayat,G011101,Thiruvananthapuram,4,Chenkal,ചെങ്കൽ
253,Chenkal Grama Panchayat,G011101,Thiruvananthapuram,5,Kunnanvila,കുന്നൻവിള
254,Chenkal Grama Panchayat,G011101,Thiruvananthapuram,6,Kudumbottukonam,കുടുംബോട്ടുകോണം
255,Chenkal Grama Panchayat,G011101,Thiruvananthapuram,7,Kochottukonam,കൊച്ചോട്ടുകോണം
256,Chenkal Grama Panchayat,G011101,Thiruvananthapuram,8,Udhiyankulangara,ഉദിയൻകുളങ്ങര
257,Chenkal Grama Panchayat,G011101,Thiruvananthapuram,9,Kottamam,കൊറ്റാമം
258,Chenkal Grama Panchayat,G011101,Thiruvananthapuram,10,Arayoor,ആറയൂർ
259,Chenkal Grama Panchayat,G011101,Thiruvananthapuram,11,Ponvila,പൊൻവിള
